Time,Pre,Actual
2021/3/21,17.775877,17.1875
2021/3/22,15.909942,15.34375
2021/3/23,14.160213,14.4375
2021/3/24,13.404353,13.40625
2021/3/25,12.5674925,12.21875
2021/3/26,12.332398,19.25
2021/3/27,17.907724,20.71875
2021/3/28,18.781351,18.84375
2021/3/29,17.441336,16.8125
2021/3/30,15.255715,15
2021/3/31,14.880717,14.15625
2021/4/1,15.343333,17.28125
2021/4/2,17.842031,21.6875
2021/4/3,21.585604,25.21875
2021/4/4,24.459406,26
2021/4/5,24.990566,26.34375
2021/4/6,24.602398,25.5
2021/4/7,24.08705,24.34375
2021/4/8,22.98741,22.5
2021/4/9,20.737608,20.375
2021/4/10,20.337843,22.40625
2021/4/11,21.605577,25
2021/4/12,23.15137,23.71875
2021/4/13,22.099045,21.875
2021/4/14,21.190401,23.90625
2021/4/15,22.524076,23.71875
2021/4/16,22.415813,21.6875
